Player_Name,college,Games_Played,Year,Team,Field_Goal_Percentage,Free_Throw_Percentage,Total_Assists,Total_Points,id
"Curly Armstrong","Indiana University",63,1950,FTW,0.28,0.71,176,458,0
"Cliff Barker","University of Kentucky",49,1950,INO,0.37,0.71,109,279,1
"Leo Barnhorst","University of Notre Dame",67,1950,CHS,0.35,0.7,140,438,2
"Ed Bartels","North Carolina State University",15,1950,TOT,0.26,0.56,20,63,3
"Ed Bartels","North Carolina State University",13,1950,DNN,0.26,0.55,20,59,4
"Ed Bartels","North Carolina State University",2,1950,NYK,0.25,0.67,0,4,5
"Ralph Beard","University of Kentucky",60,1950,INO,0.36,0.76,233,895,6
"Gene Berce","Marquette University",3,1950,TRI,0.31,0,2,10,7
"Charlie Black","University of Kansas",65,1950,TOT,0.28,0.65,163,661,8
"Charlie Black","University of Kansas",36,1950,FTW,0.29,0.63,75,382,9
"Charlie Black","University of Kansas",29,1950,AND,0.27,0.69,88,279,10
"Nelson Bobb","Temple University",57,1950,PHW,0.32,0.63,46,242,11
"Jake Bornheimer","Muhlenberg College",60,1950,PHW,0.29,0.67,40,254,12
"Vince Boryla","University of Denver",59,1950,NYK,0.34,0.76,95,612,13
"Don Boven","Western Michigan University",62,1950,WAT,0.37,0.69,137,656,14
"Harry Boykoff","St. John's University",61,1950,WAT,0.41,0.78,149,779,15
"Joe Bradley","Oklahoma State University",46,1950,CHS,0.27,0.4,36,87,16
"Bob Brannum","Michigan State University",59,1950,SHE,0.33,0.69,205,713,17
"Carl Braun","Colgate University",67,1950,NYK,0.36,0.76,247,1031,18
"Frankie Brian","Louisiana State University",64,1950,AND,0.32,0.82,189,1138,19
"Price Brookfield","West Texas A&M University",7,1950,ROC,0.48,0.92,1,34,20
"Bob Brown","Miami University",62,1950,DNN,0.36,0.68,101,724,21
"Jim Browne",NULL,31,1950,DNN,0.35,0.48,8,47,22
"Walt Budko","Columbia University",66,1950,BLB,0.3,0.76,146,595,23
"Jack Burmaster","University of Illinois at Urbana-Champaign",61,1950,SHE,0.33,0.68,179,598,24
"Tommy Byrnes","Seton Hall University",53,1950,BLB,0.3,0.7,88,327,25
"Bill Calhoun","City College of San Francisco",62,1950,ROC,0.38,0.72,115,560,26
"Don Carlson","University of Minnesota",57,1950,MNL,0.34,0.73,76,267,27
"Bob Carpenter","East Texas State University",66,1950,FTW,0.34,0.74,92,614,28
"Jake Carter","East Texas State University",24,1950,TOT,0.31,0.68,24,82,29
"Jake Carter","East Texas State University",13,1950,DNN,0.29,0.69,16,44,30
"Jake Carter","East Texas State University",11,1950,AND,0.33,0.67,8,38,31
"Al Cervi*",NULL,56,1950,SYR,0.33,0.83,264,573,32
"John Chaney","Louisiana State University",16,1950,TOT,0.29,0.69,20,70,33
"John Chaney","Louisiana State University",6,1950,TRI,0.27,0.67,15,28,34
"John Chaney","Louisiana State University",10,1950,SHE,0.31,0.71,5,42,35
"Leroy Chollet","Canisius College",49,1950,SYR,0.34,0.63,37,157,36
"Bill Closs","Rice University",64,1950,AND,0.32,0.72,160,752,37
"Paul Cloyd","University of Wisconsin",7,1950,TOT,0.27,0.63,2,19,38
"Paul Cloyd","University of Wisconsin",3,1950,BLB,0.13,1,1,5,39
"Paul Cloyd","University of Wisconsin",4,1950,WAT,0.33,0.4,1,14,40
"Jack Coleman","University of Louisville",68,1950,ROC,0.38,0.74,153,590,41
"Bobby Cook","University of Wisconsin",51,1950,SHE,0.36,0.79,158,587,42
"Ray Corley","Georgetown University",60,1950,SYR,0.32,0.62,109,309,43
"Jack Cotton","University of Wyoming",54,1950,DNN,0.29,0.51,65,276,44
"Dillard Crocker","Western Michigan University",53,1950,DNN,0.29,0.74,85,723,45
"Chink Crossin","University of Pennsylvania",64,1950,PHW,0.32,0.78,148,449,46
"Fran Curran","University of Notre Dame",66,1950,ROC,0.42,0.83,71,395,47
"Jimmy Darden","University of Denver",26,1950,DNN,0.32,0.69,67,211,48
"Bob Davies*","Seton Hall University",64,1950,ROC,0.36,0.75,294,895,49
"Hook Dillon","University of North Carolina",22,1950,WSC,0.18,0.73,5,36,50
"Earl Dodd","Truman State University",9,1950,DNN,0.22,0.6,6,15,51
"Joe Dolhon","New York University",64,1950,BLB,0.31,0.73,155,443,52
"Bob Doll","University of Colorado",47,1950,BOS,0.35,0.66,108,315,53
"Harry Donovan","Muhlenberg College",45,1950,NYK,0.33,0.69,38,253,54
"Andy Duncan","College of William & Mary",67,1950,ROC,0.43,0.56,42,310,55
"Dike Eddleman","University of Illinois at Urbana-Champaign",64,1950,TRI,0.37,0.62,142,826,56
"Gene Englund","University of Wisconsin",46,1950,TOT,0.38,0.79,41,360,57
"Gene Englund","University of Wisconsin",24,1950,BOS,0.37,0.81,17,196,58
"Gene Englund","University of Wisconsin",22,1950,TRI,0.39,0.77,24,164,59
"Bob Evans","Butler University",47,1950,INO,0.28,0.68,55,142,60
